id,category_id,percentage,description,created_at,updated_at,difficulty
8,1,100,"<p><em style=""background-color: transparent; color: rgb(0, 0, 0);"">Congratulations! You seem to have a very good knowledge about online security. Keep an eye out on our news feed to stay up to date. Check out the </em><a href=""https://krebsonsecurity.com/"" target=""_blank"" style=""background-color: transparent; color: rgb(0, 0, 0);""><em>Krebs on Security blog</em></a><em style=""background-color: transparent; color: rgb(0, 0, 0);""> for exciting articles keeping you up to speed with online security. </em></p>",2020-04-24 21:53:33.364868,2020-04-24 21:53:33.364868,1
9,1,75,"<p><em style=""background-color: transparent; color: rgb(0, 0, 0);"">Not bad! You seem to have a decent understanding of core online security topics. Check out this online </em><a href=""https://www.rapid7.com/fundamentals/"" target=""_blank"" style=""background-color: transparent; color: rgb(0, 0, 0);""><em>security fundamentals</em></a><em style=""background-color: transparent; color: rgb(0, 0, 0);""> dictionary to freshen up.</em></p>",2020-04-24 21:54:53.957302,2020-04-24 21:54:53.957302,1
10,1,50,"<p><em style=""background-color: transparent; color: rgb(0, 0, 0);"">Uh oh… You should read up on the core concepts and issues of online security. Check out this </em><a href=""https://geekflare.com/understanding-cybersecurity/"" target=""_blank"" style=""background-color: transparent; color: rgb(0, 0, 0);""><em>article</em></a><em style=""background-color: transparent; color: rgb(0, 0, 0);""> to get started. Review your answers and come back to take our quiz again when you’re ready!</em></p>",2020-04-24 21:55:59.941011,2020-04-24 21:55:59.941011,1
11,1,100,"<p><em style=""background-color: transparent; color: rgb(0, 0, 0);"">Congratulations! You seem to have a very good knowledge about online security. Keep an eye out on our news feed to stay up to date. Check out the </em><a href=""https://krebsonsecurity.com/"" target=""_blank"" style=""background-color: transparent; color: rgb(0, 0, 0);""><em>Krebs on Security</em></a><em style=""background-color: transparent; color: rgb(0, 0, 0);""> or the </em><a href=""https://insights.oem.avira.com/"" target=""_blank"" style=""background-color: transparent; color: rgb(0, 0, 0);""><em>Avira Insight</em></a><em style=""background-color: transparent; color: rgb(0, 0, 0);""> blogs for exciting articles keeping you up to speed with online security. </em></p>",2020-04-24 21:57:15.25192,2020-04-24 21:57:15.25192,2
12,1,75,"<p><em style=""background-color: transparent; color: rgb(0, 0, 0);"">Not bad! You seem to have a decent understanding of core online security topics. Check out this online </em><a href=""https://www.rapid7.com/fundamentals/"" target=""_blank"" style=""background-color: transparent; color: rgb(0, 0, 0);""><em>security fundamentals</em></a><em style=""background-color: transparent; color: rgb(0, 0, 0);""> dictionary to freshen up. You can find online security news on our news feed or the </em><a href=""https://krebsonsecurity.com/"" target=""_blank"" style=""background-color: transparent; color: rgb(0, 0, 0);""><em>Krebs on Security</em></a><em style=""background-color: transparent; color: rgb(0, 0, 0);""> blog.</em></p>",2020-04-24 21:58:40.529376,2020-04-24 21:58:40.529376,2
13,1,50,"<p><em style=""background-color: transparent; color: rgb(0, 0, 0);"">Uh oh… You should read up on the core concepts and issues of online security. Check out this </em><a href=""https://geekflare.com/understanding-cybersecurity/"" target=""_blank"" style=""background-color: transparent; color: rgb(0, 0, 0);""><em>article</em></a><em style=""background-color: transparent; color: rgb(0, 0, 0);""> to get started. You can find further resources </em><a href=""https://digitalguardian.com/blog/search/cyber-security"" target=""_blank"" style=""background-color: transparent; color: rgb(0, 0, 0);""><em>here</em></a><em style=""background-color: transparent; color: rgb(0, 0, 0);"">. Review your answers and come back to take our quiz again when you’re ready! </em></p>",2020-04-24 21:59:45.095591,2020-04-24 21:59:45.095591,2
14,2,100,"<p><em style=""background-color: transparent; color: rgb(0, 0, 0);"">Well done! You seem to be following good daily practices to stay safe online. Have you heard of password managers before? They provide an easy and secure way of storing your passwords and you only have to remember one! Check out one of the most famous password managers </em><a href=""https://www.lastpass.com"" target=""_blank"" style=""background-color: transparent; color: rgb(0, 0, 0);""><em>here</em></a><em style=""background-color: transparent; color: rgb(0, 0, 0);"">. You can find more information and news on data protection on our news feed and </em><a href=""https://digitalguardian.com/blog/search/data-protection-101"" target=""_blank"" style=""background-color: transparent; color: rgb(0, 0, 0);""><em>here</em></a><em style=""background-color: transparent; color: rgb(0, 0, 0);"">. </em></p>",2020-04-24 22:01:52.188622,2020-04-24 22:01:52.188622,1
15,2,100,"<p><em style=""color: rgb(0, 0, 0); background-color: transparent;"">Well done! You seem to be following good daily practices to stay safe online. Have you heard of password managers before? They provide an easy and secure way of storing your passwords and you only have to remember one! Check out one of the most famous password managers </em><a href=""https://www.lastpass.com/"" target=""_blank"" style=""color: rgb(0, 0, 0);""><em>here</em></a><em style=""color: rgb(0, 0, 0); background-color: transparent;"">. You can find more information and news on data protection on our news feed and </em><a href=""https://digitalguardian.com/blog/search/data-protection-101"" target=""_blank"" style=""color: rgb(0, 0, 0);""><em>here</em></a><em style=""color: rgb(0, 0, 0); background-color: transparent;"">. </em></p>",2020-04-24 22:02:10.949339,2020-04-24 22:02:10.949339,2
16,2,75,"<p><em style=""background-color: transparent; color: rgb(0, 0, 0);"">Good job, you got a fair amount of questions right. To make sure you follow best online security practices we recommend reading through this </em><a href=""https://cipher.com/blog/10-personal-cyber-security-tips-cyberaware"" target=""_blank"" style=""background-color: transparent; color: rgb(0, 0, 0);""><em>article</em></a><em style=""background-color: transparent; color: rgb(0, 0, 0);"">. Did you know that backing up your data on different devices is a good practice to prepare for possible attacks and data losses? </em></p>",2020-04-24 22:03:33.835639,2020-04-24 22:03:33.835639,1
17,2,50,"<p><em style=""background-color: transparent; color: rgb(0, 0, 0);"">You need to improve! Choosing a strong password and keeping it safe are core principles to protect your data. Make sure to read through this list of </em><a href=""https://cybersecurity.osu.edu/cybersecurity-you/develop-safe-habits/online-security-basics"" target=""_blank"" style=""background-color: transparent; color: rgb(0, 0, 0);""><em>basic practices</em></a><em style=""background-color: transparent; color: rgb(0, 0, 0);"">. Review your answers and come back to retake our quiz when you’ve done some research</em></p>",2020-04-24 22:05:06.130077,2020-04-24 22:05:06.130077,1
